AR, 2018, actual, 701, num, deceased
AR, 2018, actual, 15.75, pmp, deceased
AR, 2018, utilized, 643, num, deceased
AR, 2018, utilized, 14.45, pmp, deceased
AR, 2018, living, 44, num, living
AR, 2018, living, 0.98, pmp, living
AR, 2018, actual, 701, num, deceased
AR, 2018, actual, 15.75, pmp, deceased
AR, 2018, utilized, 643, num, deceased
AR, 2018, utilized, 14.45, pmp, deceased
AR, 2018, living, 44, num, living
AR, 2018, living, 0.98, pmp, living
AR, 1995, actual, 258, num, deceased
AR, 1995, actual, 7.5, pmp, deceased
AR, 1995, utilized, -, num, deceased
AR, 1995, utilized, -, pmp, deceased
AR, 1995, living, 168, num, living
AR, 1995, living, 4.90, pmp, living
AR, 1996, actual, 238, num, deceased
AR, 1996, actual, 6.90, pmp, deceased
AR, 1996, utilized, -, num, deceased
AR, 1996, utilized, -, pmp, deceased
AR, 1996, living, 166, num, living
AR, 1996, living, 4.80, pmp, living
AR, 1997, actual, 217, num, deceased
AR, 1997, actual, 6.20, pmp, deceased
AR, 1997, utilized, -, num, deceased
AR, 1997, utilized, -, pmp, deceased
AR, 1997, living, 155, num, living
AR, 1997, living, 4.40, pmp, living
AR, 1998, actual, 226, num, deceased
AR, 1998, actual, 6.40, pmp, deceased
AR, 1998, utilized, -, num, deceased
AR, 1998, utilized, -, pmp, deceased
AR, 1998, living, 122, num, living
AR, 1998, living, 3.40, pmp, living
AR, 1999, actual, 266, num, deceased
AR, 1999, actual, 7.40, pmp, deceased
AR, 1999, utilized, -, num, deceased
AR, 1999, utilized, -, pmp, deceased
AR, 1999, living, 93, num, living
AR, 1999, living, 2.60, pmp, living
AR, 2000, actual, 261, num, deceased
AR, 2000, actual, 7.20, pmp, deceased
AR, 2000, utilized, -, num, deceased
AR, 2000, utilized, -, pmp, deceased
AR, 2000, living, 150, num, living
AR, 2000, living, 4.10, pmp, living
AR, 2001, actual, 252, num, deceased
AR, 2001, actual, 6.90, pmp, deceased
AR, 2001, utilized, -, num, deceased
AR, 2001, utilized, -, pmp, deceased
AR, 2001, living, 163, num, living
AR, 2001, living, 4.40, pmp, living
AR, 2002, actual, 241, num, deceased
AR, 2002, actual, 6.5, pmp, deceased
AR, 2002, utilized, -, num, deceased
AR, 2002, utilized, -, pmp, deceased
AR, 2002, living, 242, num, living
AR, 2002, living, 6.60, pmp, living
AR, 2003, actual, 301, num, deceased
AR, 2003, actual, 8.10, pmp, deceased
AR, 2003, utilized, -, num, deceased
AR, 2003, utilized, -, pmp, deceased
AR, 2003, living, 251, num, living
AR, 2003, living, 6.70, pmp, living
AR, 2004, actual, 403, num, deceased
AR, 2004, actual, 12.30, pmp, deceased
AR, 2004, utilized, -, num, deceased
AR, 2004, utilized, -, pmp, deceased
AR, 2004, living, 238, num, living
AR, 2004, living, 6.20, pmp, living
AR, 2005, actual, 407, num, deceased
AR, 2005, actual, 10.60, pmp, deceased
AR, 2005, utilized, -, num, deceased
AR, 2005, utilized, -, pmp, deceased
AR, 2005, living, 256, num, living
AR, 2005, living, 6.60, pmp, living
AR, 2006, actual, 467, num, deceased
AR, 2006, actual, 11.70, pmp, deceased
AR, 2006, utilized, -, num, deceased
AR, 2006, utilized, -, pmp, deceased
AR, 2006, living, 232, num, living
AR, 2006, living, 6, pmp, living
AR, 2007, actual, 493, num, deceased
AR, 2007, actual, 12.20, pmp, deceased
AR, 2007, utilized, -, num, deceased
AR, 2007, utilized, -, pmp, deceased
AR, 2007, living, 117, num, living
AR, 2007, living, 2.9, pmp, living
AR, 2008, actual, 519, num, deceased
AR, 2008, actual, 13.10, pmp, deceased
AR, 2008, utilized, -, num, deceased
AR, 2008, utilized, -, pmp, deceased
AR, 2008, living, 215, num, living
AR, 2008, living, 5.40, pmp, living
AR, 2009, actual, 500, num, deceased
AR, 2009, actual, 12.5, pmp, deceased
AR, 2009, utilized, -, num, deceased
AR, 2009, utilized, -, pmp, deceased
AR, 2009, living, 221, num, living
AR, 2009, living, 5.5, pmp, living
AR, 2010, actual, 583, num, deceased
AR, 2010, actual, 14.54, pmp, deceased
AR, 2010, utilized, -, num, deceased
AR, 2010, utilized, -, pmp, deceased
AR, 2010, living, 273, num, living
AR, 2010, living, 6.80, pmp, living
AR, 2011, actual, 604, num, deceased
AR, 2011, actual, 15.06, pmp, deceased
AR, 2011, utilized, -, num, deceased
AR, 2011, utilized, -, pmp, deceased
AR, 2011, living, 249, num, living
AR, 2011, living, 7.07, pmp, living
AR, 2012, actual, 630, num, deceased
AR, 2012, actual, 15.10, pmp, deceased
AR, 2012, utilized, -, num, deceased
AR, 2012, utilized, -, pmp, deceased
AR, 2012, living, 309, num, living
AR, 2012, living, 7.70, pmp, living
AR, 2013, actual, 568, num, deceased
AR, 2013, actual, 13.46, pmp, deceased
AR, 2013, utilized, 515, num, deceased
AR, 2013, utilized, 12.20, pmp, deceased
AR, 2013, living, 429, num, living
AR, 2013, living, 10.16, pmp, living
AR, 2014, actual, 555, num, deceased
AR, 2014, actual, 13.01, pmp, deceased
AR, 2014, utilized, 507, num, deceased
AR, 2014, utilized, 11.88, pmp, deceased
AR, 2014, living, 462, num, living
