KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2004, actual, 14, num, deceased
KW, 2004, actual, 6.40, pmp, deceased
KW, 2004, utilized, -, num, deceased
KW, 2004, utilized, -, pmp, deceased
KW, 2004, living, 73, num, living
KW, 2004, living, 33.20, pmp, living
KW, 2005, actual, 13, num, deceased
KW, 2005, actual, 5.90, pmp, deceased
KW, 2005, utilized, -, num, deceased
KW, 2005, utilized, -, pmp, deceased
KW, 2005, living, 51, num, living
KW, 2005, living, 23.20, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2012, actual, 18, num, deceased
KW, 2012, actual, 6, pmp, deceased
KW, 2012, utilized, -, num, deceased
KW, 2012, utilized, -, pmp, deceased
KW, 2012, living, 40, num, living
KW, 2012, living, 13.30, pmp, living
KW, 2013, actual, 11, num, deceased
KW, 2013, actual, 3.70, pmp, deceased
KW, 2013, utilized, 10, num, deceased
KW, 2013, utilized, 3.30, pmp, deceased
KW, 2013, living, 50, num, living
KW, 2013, living, 16.70, pmp, living
KW, 2014, actual, 24, num, deceased
KW, 2014, actual, 8, pmp, deceased
KW, 2014, utilized, -, num, deceased
KW, 2014, utilized, -, pmp, deceased
KW, 2014, living, 58, num, living
KW, 2014, living, 19.30, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2016, actual, 18, num, deceased
KW, 2016, actual, 4.5, pmp, deceased
KW, 2016, utilized, -, num, deceased
KW, 2016, utilized, -, pmp, deceased
KW, 2016, living, 47, num, living
KW, 2016, living, 11.75, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KW, 2017, actual, 20, num, deceased
KW, 2017, actual, 5, pmp, deceased
KW, 2017, utilized, 20, num, deceased
KW, 2017, utilized, 5, pmp, deceased
KW, 2017, living, 60, num, living
KW, 2017, living, 15, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
