PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2005, actual, 0, num, deceased
PK, 2005, actual, 0, pmp, deceased
PK, 2005, utilized, -, num, deceased
PK, 2005, utilized, -, pmp, deceased
PK, 2005, living, 2014, num, living
PK, 2005, living, 13, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
PK, 2006, utilized, -, num, deceased
PK, 2006, utilized, -, pmp, deceased
PK, 2006, living, 2348, num, living
PK, 2006, living, 15.10, pmp, living
PK, 2006, actual, 0, num, deceased
PK, 2006, actual, 0, pmp, deceased
