UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2015, actual, 3, num, deceased
UA, 2015, actual, 0.1, pmp, deceased
UA, 2015, utilized, -, num, deceased
UA, 2015, utilized, -, pmp, deceased
UA, 2015, living, 0, num, living
UA, 2015, living, 0, pmp, living
UA, 2003, actual, 21, num, deceased
UA, 2003, actual, 0.4, pmp, deceased
UA, 2003, utilized, -, num, deceased
