AR, 2018, kidney, 1099, num, deceased
AR, 2018, liver, 432, num, deceased
AR, 2018, pancreas, 89, num, deceased
AR, 2018, heart, 132, num, deceased
AR, 2018, lung, 44, num, deceased
AR, 2018, heart/lung, -, num, deceased
AR, 2018, kidney, 24.69, pmp, deceased
AR, 2018, liver, 9.71, pmp, deceased
AR, 2018, pancreas, 2, pmp, deceased
AR, 2018, heart, 2.97, pmp, deceased
AR, 2018, lung, 0.99, pmp, deceased
AR, 2018, heart/lung, -, pmp, deceased
AR, 2018, kidney, 372, num, living
AR, 2018, liver, 40, num, living
AR, 2018, pancreas, -, num, living
AR, 2018, heart, -, num, living
AR, 2018, lung, -, num, living
AR, 2018, heart/lung, -, num, living
AR, 2018, kidney, 8.36, pmp, living
AR, 2018, liver, 0.9, pmp, living
AR, 2018, pancreas, -, pmp, living
AR, 2018, heart, -, pmp, living
AR, 2018, lung, -, pmp, living
AR, 2018, heart/lung, -, pmp, living
AR, 2018, kidney, 1099, num, deceased
AR, 2018, liver, 432, num, deceased
AR, 2018, pancreas, 89, num, deceased
AR, 2018, heart, 132, num, deceased
AR, 2018, lung, 44, num, deceased
AR, 2018, heart/lung, -, num, deceased
AR, 2018, kidney, 24.69, pmp, deceased
AR, 2018, liver, 9.71, pmp, deceased
AR, 2018, pancreas, 2, pmp, deceased
AR, 2018, heart, 2.97, pmp, deceased
AR, 2018, lung, 0.99, pmp, deceased
AR, 2018, heart/lung, -, pmp, deceased
AR, 2018, kidney, 372, num, living
AR, 2018, liver, 40, num, living
AR, 2018, pancreas, -, num, living
AR, 2018, heart, -, num, living
AR, 2018, lung, -, num, living
AR, 2018, heart/lung, -, num, living
AR, 2018, kidney, 8.36, pmp, living
AR, 2018, liver, 0.9, pmp, living
AR, 2018, pancreas, -, pmp, living
AR, 2018, heart, -, pmp, living
AR, 2018, lung, -, pmp, living
AR, 2018, heart/lung, -, pmp, living
AR, 1995, kidney, 0, num, deceased
AR, 1995, liver, 0, num, deceased
AR, 1995, pancreas, 0, num, deceased
AR, 1995, heart, 0, num, deceased
AR, 1995, lung, 0, num, deceased
AR, 1995, heart/lung, -, num, deceased
AR, 1995, kidney, 0, pmp, deceased
AR, 1995, liver, 0, pmp, deceased
AR, 1995, pancreas, 0, pmp, deceased
AR, 1995, heart, 0, pmp, deceased
AR, 1995, lung, 0, pmp, deceased
AR, 1995, heart/lung, -, pmp, deceased
AR, 1995, kidney, 166, num, living
AR, 1995, liver, 2, num, living
AR, 1995, pancreas, -, num, living
AR, 1995, heart, -, num, living
AR, 1995, lung, -, num, living
AR, 1995, heart/lung, -, num, living
AR, 1995, kidney, 4.80, pmp, living
AR, 1995, liver, 5.80, pmp, living
AR, 1995, pancreas, -, pmp, living
AR, 1995, heart, -, pmp, living
AR, 1995, lung, -, pmp, living
AR, 1995, heart/lung, -, pmp, living
AR, 1996, kidney, 0, num, deceased
AR, 1996, liver, 0, num, deceased
AR, 1996, pancreas, 0, num, deceased
AR, 1996, heart, 0, num, deceased
AR, 1996, lung, 0, num, deceased
AR, 1996, heart/lung, -, num, deceased
AR, 1996, kidney, 0, pmp, deceased
AR, 1996, liver, 0, pmp, deceased
AR, 1996, pancreas, 0, pmp, deceased
AR, 1996, heart, 0, pmp, deceased
AR, 1996, lung, 0, pmp, deceased
AR, 1996, heart/lung, -, pmp, deceased
AR, 1996, kidney, 158, num, living
AR, 1996, liver, 8, num, living
AR, 1996, pancreas, -, num, living
AR, 1996, heart, -, num, living
AR, 1996, lung, -, num, living
AR, 1996, heart/lung, -, num, living
AR, 1996, kidney, 4.5, pmp, living
AR, 1996, liver, 0.2, pmp, living
AR, 1996, pancreas, -, pmp, living
AR, 1996, heart, -, pmp, living
AR, 1996, lung, -, pmp, living
AR, 1996, heart/lung, -, pmp, living
AR, 1997, kidney, 0, num, deceased
AR, 1997, liver, 0, num, deceased
AR, 1997, pancreas, 0, num, deceased
AR, 1997, heart, 0, num, deceased
AR, 1997, lung, 0, num, deceased
AR, 1997, heart/lung, -, num, deceased
AR, 1997, kidney, 0, pmp, deceased
AR, 1997, liver, 0, pmp, deceased
AR, 1997, pancreas, 0, pmp, deceased
AR, 1997, heart, 0, pmp, deceased
AR, 1997, lung, 0, pmp, deceased
AR, 1997, heart/lung, -, pmp, deceased
AR, 1997, kidney, 137, num, living
AR, 1997, liver, 18, num, living
AR, 1997, pancreas, -, num, living
AR, 1997, heart, -, num, living
AR, 1997, lung, -, num, living
AR, 1997, heart/lung, -, num, living
AR, 1997, kidney, 3.9, pmp, living
AR, 1997, liver, 0.5, pmp, living
AR, 1997, pancreas, -, pmp, living
AR, 1997, heart, -, pmp, living
AR, 1997, lung, -, pmp, living
AR, 1997, heart/lung, -, pmp, living
AR, 1998, kidney, 0, num, deceased
AR, 1998, liver, 0, num, deceased
AR, 1998, pancreas, 0, num, deceased
AR, 1998, heart, 0, num, deceased
AR, 1998, lung, 0, num, deceased
AR, 1998, heart/lung, -, num, deceased
AR, 1998, kidney, 0, pmp, deceased
AR, 1998, liver, 0, pmp, deceased
AR, 1998, pancreas, 0, pmp, deceased
AR, 1998, heart, 0, pmp, deceased
AR, 1998, lung, 0, pmp, deceased
AR, 1998, heart/lung, -, pmp, deceased
AR, 1998, kidney, 110, num, living
AR, 1998, liver, 12, num, living
AR, 1998, pancreas, -, num, living
AR, 1998, heart, -, num, living
AR, 1998, lung, -, num, living
AR, 1998, heart/lung, -, num, living
AR, 1998, kidney, 3.10, pmp, living
AR, 1998, liver, 0.3, pmp, living
AR, 1998, pancreas, -, pmp, living
AR, 1998, heart, -, pmp, living
AR, 1998, lung, -, pmp, living
AR, 1998, heart/lung, -, pmp, living
AR, 1999, kidney, 389, num, deceased
AR, 1999, liver, 170, num, deceased
AR, 1999, pancreas, 0, num, deceased
AR, 1999, heart, 95, num, deceased
AR, 1999, lung, 0, num, deceased
AR, 1999, heart/lung, -, num, deceased
AR, 1999, kidney, 10.90, pmp, deceased
AR, 1999, liver, 4.70, pmp, deceased
AR, 1999, pancreas, 0, pmp, deceased
AR, 1999, heart, 2.60, pmp, deceased
AR, 1999, lung, 0, pmp, deceased
AR, 1999, heart/lung, -, pmp, deceased
AR, 1999, kidney, 75, num, living
AR, 1999, liver, 18, num, living
AR, 1999, pancreas, -, num, living
AR, 1999, heart, -, num, living
AR, 1999, lung, -, num, living
AR, 1999, heart/lung, -, num, living
AR, 1999, kidney, 2.10, pmp, living
AR, 1999, liver, 0.5, pmp, living
AR, 1999, pancreas, -, pmp, living
AR, 1999, heart, -, pmp, living
AR, 1999, lung, -, pmp, living
AR, 1999, heart/lung, -, pmp, living
AR, 2000, kidney, 373, num, deceased
AR, 2000, liver, 147, num, deceased
AR, 2000, pancreas, 0, num, deceased
AR, 2000, heart, 81, num, deceased
AR, 2000, lung, 0, num, deceased
AR, 2000, heart/lung, -, num, deceased
AR, 2000, kidney, 10.30, pmp, deceased
AR, 2000, liver, 4, pmp, deceased
AR, 2000, pancreas, 0, pmp, deceased
AR, 2000, heart, 2.20, pmp, deceased
AR, 2000, lung, 0, pmp, deceased
AR, 2000, heart/lung, -, pmp, deceased
AR, 2000, kidney, 113, num, living
AR, 2000, liver, 37, num, living
AR, 2000, pancreas, -, num, living
AR, 2000, heart, -, num, living
AR, 2000, lung, -, num, living
AR, 2000, heart/lung, -, num, living
AR, 2000, kidney, 3.10, pmp, living
AR, 2000, liver, 1, pmp, living
AR, 2000, pancreas, -, pmp, living
AR, 2000, heart, -, pmp, living
AR, 2000, lung, -, pmp, living
AR, 2000, heart/lung, -, pmp, living
AR, 2001, kidney, 380, num, deceased
AR, 2001, liver, 132, num, deceased
AR, 2001, pancreas, 0, num, deceased
AR, 2001, heart, 84, num, deceased
AR, 2001, lung, 0, num, deceased
AR, 2001, heart/lung, -, num, deceased
AR, 2001, kidney, 10.40, pmp, deceased
AR, 2001, liver, 3.60, pmp, deceased
AR, 2001, pancreas, 0, pmp, deceased
AR, 2001, heart, 2.30, pmp, deceased
AR, 2001, lung, 0, pmp, deceased
AR, 2001, heart/lung, -, pmp, deceased
AR, 2001, kidney, 109, num, living
AR, 2001, liver, 54, num, living
AR, 2001, pancreas, -, num, living
AR, 2001, heart, -, num, living
AR, 2001, lung, -, num, living
AR, 2001, heart/lung, -, num, living
AR, 2001, kidney, 3, pmp, living
AR, 2001, liver, 1.40, pmp, living
AR, 2001, pancreas, -, pmp, living
AR, 2001, heart, -, pmp, living
AR, 2001, lung, -, pmp, living
AR, 2001, heart/lung, -, pmp, living
AR, 2002, kidney, 379, num, deceased
AR, 2002, liver, 115, num, deceased
AR, 2002, pancreas, 1, num, deceased
AR, 2002, heart, 47, num, deceased
AR, 2002, lung, 0, num, deceased
AR, 2002, heart/lung, -, num, deceased
AR, 2002, kidney, 10.30, pmp, deceased
AR, 2002, liver, 3.10, pmp, deceased
AR, 2002, pancreas, 2.70, pmp, deceased
AR, 2002, heart, 1.20, pmp, deceased
AR, 2002, lung, 0, pmp, deceased
AR, 2002, heart/lung, -, pmp, deceased
AR, 2002, kidney, 80, num, living
AR, 2002, liver, 62, num, living
AR, 2002, pancreas, -, num, living
AR, 2002, heart, -, num, living
AR, 2002, lung, -, num, living
AR, 2002, heart/lung, -, num, living
AR, 2002, kidney, 2.10, pmp, living
AR, 2002, liver, 1.60, pmp, living
AR, 2002, pancreas, -, pmp, living
AR, 2002, heart, -, pmp, living
AR, 2002, lung, -, pmp, living
AR, 2002, heart/lung, -, pmp, living
AR, 2003, kidney, 432, num, deceased
AR, 2003, liver, 172, num, deceased
AR, 2003, pancreas, 2, num, deceased
AR, 2003, heart, 61, num, deceased
AR, 2003, lung, 0, num, deceased
AR, 2003, heart/lung, -, num, deceased
AR, 2003, kidney, 11.60, pmp, deceased
AR, 2003, liver, 4.60, pmp, deceased
AR, 2003, pancreas, 5.40, pmp, deceased
AR, 2003, heart, 1.60, pmp, deceased
AR, 2003, lung, 0, pmp, deceased
AR, 2003, heart/lung, -, pmp, deceased
AR, 2003, kidney, 187, num, living
AR, 2003, liver, 0, num, living
AR, 2003, pancreas, -, num, living
AR, 2003, heart, -, num, living
AR, 2003, lung, -, num, living
AR, 2003, heart/lung, -, num, living
AR, 2003, kidney, 0, pmp, living
AR, 2003, liver, 0, pmp, living
AR, 2003, pancreas, -, pmp, living
AR, 2003, heart, -, pmp, living
AR, 2003, lung, -, pmp, living
AR, 2003, heart/lung, -, pmp, living
AR, 2004, kidney, 563, num, deceased
AR, 2004, liver, 197, num, deceased
AR, 2004, pancreas, 0, num, deceased
AR, 2004, heart, 68, num, deceased
AR, 2004, lung, 17, num, deceased
