BD, 1993, kidney, 0, num, deceased
BD, 1993, liver, 0, num, deceased
BD, 1993, pancreas, 0, num, deceased
BD, 1993, heart, 0, num, deceased
BD, 1993, lung, 0, num, deceased
BD, 1993, heart/lung, -, num, deceased
BD, 1993, kidney, 0, pmp, deceased
BD, 1993, liver, 0, pmp, deceased
BD, 1993, pancreas, 0, pmp, deceased
BD, 1993, heart, 0, pmp, deceased
BD, 1993, lung, 0, pmp, deceased
BD, 1993, heart/lung, -, pmp, deceased
BD, 1993, kidney, 7, num, living
BD, 1993, liver, 0, num, living
BD, 1993, pancreas, -, num, living
BD, 1993, heart, -, num, living
BD, 1993, lung, -, num, living
BD, 1993, heart/lung, -, num, living
BD, 1993, kidney, 0, pmp, living
BD, 1993, liver, 0, pmp, living
BD, 1993, pancreas, -, pmp, living
BD, 1993, heart, -, pmp, living
BD, 1993, lung, -, pmp, living
BD, 1993, heart/lung, -, pmp, living
BD, 1994, kidney, 0, num, deceased
BD, 1994, liver, 0, num, deceased
BD, 1994, pancreas, 0, num, deceased
BD, 1994, heart, 0, num, deceased
BD, 1994, lung, 0, num, deceased
BD, 1994, heart/lung, -, num, deceased
BD, 1994, kidney, 0, pmp, deceased
BD, 1994, liver, 0, pmp, deceased
BD, 1994, pancreas, 0, pmp, deceased
BD, 1994, heart, 0, pmp, deceased
BD, 1994, lung, 0, pmp, deceased
BD, 1994, heart/lung, -, pmp, deceased
BD, 1994, kidney, 12, num, living
BD, 1994, liver, 0, num, living
BD, 1994, pancreas, -, num, living
BD, 1994, heart, -, num, living
BD, 1994, lung, -, num, living
BD, 1994, heart/lung, -, num, living
BD, 1994, kidney, 0.1, pmp, living
BD, 1994, liver, 0, pmp, living
BD, 1994, pancreas, -, pmp, living
BD, 1994, heart, -, pmp, living
BD, 1994, lung, -, pmp, living
BD, 1994, heart/lung, -, pmp, living
BD, 1995, kidney, 0, num, deceased
BD, 1995, liver, 0, num, deceased
BD, 1995, pancreas, 0, num, deceased
BD, 1995, heart, 0, num, deceased
BD, 1995, lung, 0, num, deceased
BD, 1995, heart/lung, -, num, deceased
BD, 1995, kidney, 0, pmp, deceased
BD, 1995, liver, 0, pmp, deceased
BD, 1995, pancreas, 0, pmp, deceased
BD, 1995, heart, 0, pmp, deceased
BD, 1995, lung, 0, pmp, deceased
BD, 1995, heart/lung, -, pmp, deceased
BD, 1995, kidney, 9, num, living
BD, 1995, liver, 0, num, living
BD, 1995, pancreas, -, num, living
BD, 1995, heart, -, num, living
BD, 1995, lung, -, num, living
BD, 1995, heart/lung, -, num, living
BD, 1995, kidney, 0.1, pmp, living
BD, 1995, liver, 0, pmp, living
BD, 1995, pancreas, -, pmp, living
BD, 1995, heart, -, pmp, living
BD, 1995, lung, -, pmp, living
BD, 1995, heart/lung, -, pmp, living
BD, 1996, kidney, 0, num, deceased
BD, 1996, liver, 0, num, deceased
BD, 1996, pancreas, 0, num, deceased
BD, 1996, heart, 0, num, deceased
BD, 1996, lung, 0, num, deceased
BD, 1996, heart/lung, -, num, deceased
BD, 1996, kidney, 0, pmp, deceased
BD, 1996, liver, 0, pmp, deceased
BD, 1996, pancreas, 0, pmp, deceased
BD, 1996, heart, 0, pmp, deceased
BD, 1996, lung, 0, pmp, deceased
BD, 1996, heart/lung, -, pmp, deceased
BD, 1996, kidney, 20, num, living
BD, 1996, liver, 0, num, living
BD, 1996, pancreas, -, num, living
BD, 1996, heart, -, num, living
BD, 1996, lung, -, num, living
BD, 1996, heart/lung, -, num, living
BD, 1996, kidney, 0.1, pmp, living
BD, 1996, liver, 0, pmp, living
BD, 1996, pancreas, -, pmp, living
BD, 1996, heart, -, pmp, living
BD, 1996, lung, -, pmp, living
BD, 1996, heart/lung, -, pmp, living
BD, 1997, kidney, 0, num, deceased
BD, 1997, liver, 0, num, deceased
BD, 1997, pancreas, 0, num, deceased
BD, 1997, heart, 0, num, deceased
BD, 1997, lung, 0, num, deceased
BD, 1997, heart/lung, -, num, deceased
BD, 1997, kidney, 0, pmp, deceased
BD, 1997, liver, 0, pmp, deceased
BD, 1997, pancreas, 0, pmp, deceased
BD, 1997, heart, 0, pmp, deceased
BD, 1997, lung, 0, pmp, deceased
BD, 1997, heart/lung, -, pmp, deceased
BD, 1997, kidney, 15, num, living
BD, 1997, liver, 0, num, living
BD, 1997, pancreas, -, num, living
BD, 1997, heart, -, num, living
BD, 1997, lung, -, num, living
BD, 1997, heart/lung, -, num, living
BD, 1997, kidney, 0.1, pmp, living
BD, 1997, liver, 0, pmp, living
BD, 1997, pancreas, -, pmp, living
BD, 1997, heart, -, pmp, living
BD, 1997, lung, -, pmp, living
BD, 1997, heart/lung, -, pmp, living
BD, 1998, kidney, 0, num, deceased
BD, 1998, liver, 0, num, deceased
BD, 1998, pancreas, 0, num, deceased
BD, 1998, heart, 0, num, deceased
BD, 1998, lung, 0, num, deceased
BD, 1998, heart/lung, -, num, deceased
BD, 1998, kidney, 0, pmp, deceased
BD, 1998, liver, 0, pmp, deceased
BD, 1998, pancreas, 0, pmp, deceased
BD, 1998, heart, 0, pmp, deceased
BD, 1998, lung, 0, pmp, deceased
BD, 1998, heart/lung, -, pmp, deceased
BD, 1998, kidney, 20, num, living
BD, 1998, liver, 0, num, living
BD, 1998, pancreas, -, num, living
BD, 1998, heart, -, num, living
BD, 1998, lung, -, num, living
BD, 1998, heart/lung, -, num, living
BD, 1998, kidney, 0.1, pmp, living
BD, 1998, liver, 0, pmp, living
BD, 1998, pancreas, -, pmp, living
BD, 1998, heart, -, pmp, living
BD, 1998, lung, -, pmp, living
BD, 1998, heart/lung, -, pmp, living
BD, 1999, kidney, 0, num, deceased
BD, 1999, liver, 0, num, deceased
BD, 1999, pancreas, 0, num, deceased
BD, 1999, heart, 0, num, deceased
BD, 1999, lung, 0, num, deceased
BD, 1999, heart/lung, -, num, deceased
BD, 1999, kidney, 0, pmp, deceased
BD, 1999, liver, 0, pmp, deceased
BD, 1999, pancreas, 0, pmp, deceased
BD, 1999, heart, 0, pmp, deceased
BD, 1999, lung, 0, pmp, deceased
BD, 1999, heart/lung, -, pmp, deceased
BD, 1999, kidney, 17, num, living
BD, 1999, liver, 0, num, living
BD, 1999, pancreas, -, num, living
BD, 1999, heart, -, num, living
BD, 1999, lung, -, num, living
BD, 1999, heart/lung, -, num, living
BD, 1999, kidney, 0.1, pmp, living
BD, 1999, liver, 0, pmp, living
BD, 1999, pancreas, -, pmp, living
BD, 1999, heart, -, pmp, living
BD, 1999, lung, -, pmp, living
BD, 1999, heart/lung, -, pmp, living
BD, 2000, kidney, 0, num, deceased
BD, 2000, liver, 0, num, deceased
BD, 2000, pancreas, 0, num, deceased
BD, 2000, heart, 0, num, deceased
BD, 2000, lung, 0, num, deceased
BD, 2000, heart/lung, -, num, deceased
BD, 2000, kidney, 0, pmp, deceased
BD, 2000, liver, 0, pmp, deceased
BD, 2000, pancreas, 0, pmp, deceased
BD, 2000, heart, 0, pmp, deceased
BD, 2000, lung, 0, pmp, deceased
BD, 2000, heart/lung, -, pmp, deceased
BD, 2000, kidney, 29, num, living
BD, 2000, liver, 0, num, living
BD, 2000, pancreas, -, num, living
BD, 2000, heart, -, num, living
BD, 2000, lung, -, num, living
BD, 2000, heart/lung, -, num, living
BD, 2000, kidney, 0.2, pmp, living
BD, 2000, liver, 0, pmp, living
BD, 2000, pancreas, -, pmp, living
BD, 2000, heart, -, pmp, living
BD, 2000, lung, -, pmp, living
BD, 2000, heart/lung, -, pmp, living
BD, 2009, kidney, 0, num, deceased
BD, 2009, liver, 0, num, deceased
BD, 2009, pancreas, 0, num, deceased
BD, 2009, heart, 0, num, deceased
BD, 2009, lung, 0, num, deceased
BD, 2009, heart/lung, -, num, deceased
BD, 2009, kidney, 0, pmp, deceased
BD, 2009, liver, 0, pmp, deceased
BD, 2009, pancreas, 0, pmp, deceased
BD, 2009, heart, 0, pmp, deceased
BD, 2009, lung, 0, pmp, deceased
BD, 2009, heart/lung, -, pmp, deceased
BD, 2009, kidney, 130, num, living
BD, 2009, liver, 0, num, living
BD, 2009, pancreas, -, num, living
BD, 2009, heart, -, num, living
BD, 2009, lung, -, num, living
BD, 2009, heart/lung, -, num, living
BD, 2009, kidney, 0.9, pmp, living
BD, 2009, liver, 0, pmp, living
BD, 2009, pancreas, -, pmp, living
BD, 2009, heart, -, pmp, living
BD, 2009, lung, -, pmp, living
BD, 2009, heart/lung, -, pmp, living
BD, 2002, kidney, 0, num, deceased
BD, 2002, liver, 0, num, deceased
BD, 2002, pancreas, 0, num, deceased
BD, 2002, heart, 0, num, deceased
BD, 2002, lung, 0, num, deceased
BD, 2002, heart/lung, -, num, deceased
BD, 2002, kidney, 0, pmp, deceased
BD, 2002, liver, 0, pmp, deceased
BD, 2002, pancreas, 0, pmp, deceased
BD, 2002, heart, 0, pmp, deceased
