CA, 1993, kidney, 0, num, deceased
CA, 1993, liver, 0, num, deceased
CA, 1993, pancreas, 0, num, deceased
CA, 1993, heart, 0, num, deceased
CA, 1993, lung, 0, num, deceased
CA, 1993, heart/lung, -, num, deceased
CA, 1993, kidney, 0, pmp, deceased
CA, 1993, liver, 0, pmp, deceased
CA, 1993, pancreas, 0, pmp, deceased
CA, 1993, heart, 0, pmp, deceased
CA, 1993, lung, 0, pmp, deceased
CA, 1993, heart/lung, -, pmp, deceased
CA, 1993, kidney, 175, num, living
CA, 1993, liver, 0, num, living
CA, 1993, pancreas, -, num, living
CA, 1993, heart, -, num, living
CA, 1993, lung, -, num, living
CA, 1993, heart/lung, -, num, living
CA, 1993, kidney, 5.90, pmp, living
CA, 1993, liver, 0, pmp, living
CA, 1993, pancreas, -, pmp, living
CA, 1993, heart, -, pmp, living
CA, 1993, lung, -, pmp, living
CA, 1993, heart/lung, -, pmp, living
CA, 1994, kidney, 0, num, deceased
CA, 1994, liver, 0, num, deceased
CA, 1994, pancreas, 0, num, deceased
CA, 1994, heart, 0, num, deceased
CA, 1994, lung, 0, num, deceased
CA, 1994, heart/lung, -, num, deceased
CA, 1994, kidney, 0, pmp, deceased
CA, 1994, liver, 0, pmp, deceased
CA, 1994, pancreas, 0, pmp, deceased
CA, 1994, heart, 0, pmp, deceased
CA, 1994, lung, 0, pmp, deceased
CA, 1994, heart/lung, -, pmp, deceased
CA, 1994, kidney, 215, num, living
CA, 1994, liver, 0, num, living
CA, 1994, pancreas, -, num, living
CA, 1994, heart, -, num, living
CA, 1994, lung, -, num, living
CA, 1994, heart/lung, -, num, living
CA, 1994, kidney, 7.20, pmp, living
CA, 1994, liver, 0, pmp, living
CA, 1994, pancreas, -, pmp, living
CA, 1994, heart, -, pmp, living
CA, 1994, lung, -, pmp, living
CA, 1994, heart/lung, -, pmp, living
CA, 1995, kidney, 0, num, deceased
CA, 1995, liver, 0, num, deceased
CA, 1995, pancreas, 0, num, deceased
CA, 1995, heart, 0, num, deceased
CA, 1995, lung, 0, num, deceased
CA, 1995, heart/lung, -, num, deceased
CA, 1995, kidney, 0, pmp, deceased
CA, 1995, liver, 0, pmp, deceased
CA, 1995, pancreas, 0, pmp, deceased
CA, 1995, heart, 0, pmp, deceased
CA, 1995, lung, 0, pmp, deceased
CA, 1995, heart/lung, -, pmp, deceased
CA, 1995, kidney, 229, num, living
CA, 1995, liver, 0, num, living
CA, 1995, pancreas, -, num, living
CA, 1995, heart, -, num, living
CA, 1995, lung, -, num, living
CA, 1995, heart/lung, -, num, living
CA, 1995, kidney, 7.70, pmp, living
CA, 1995, liver, 0, pmp, living
