EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
EC, 2017, lung, 0, pmp, deceased
EC, 2017, heart/lung, -, pmp, deceased
EC, 2017, kidney, 9, num, living
EC, 2017, liver, 1, num, living
EC, 2017, pancreas, -, num, living
EC, 2017, heart, -, num, living
EC, 2017, lung, -, num, living
EC, 2017, heart/lung, -, num, living
EC, 2017, kidney, 0.55, pmp, living
EC, 2017, liver, 0.06, pmp, living
EC, 2017, pancreas, -, pmp, living
EC, 2017, heart, -, pmp, living
EC, 2017, lung, -, pmp, living
EC, 2017, heart/lung, -, pmp, living
EC, 2017, kidney, 141, num, deceased
EC, 2017, liver, 36, num, deceased
EC, 2017, pancreas, 0, num, deceased
EC, 2017, heart, 0, num, deceased
EC, 2017, lung, 0, num, deceased
EC, 2017, heart/lung, -, num, deceased
EC, 2017, kidney, 8.73, pmp, deceased
EC, 2017, liver, 2.22, pmp, deceased
EC, 2017, pancreas, 0, pmp, deceased
EC, 2017, heart, 0, pmp, deceased
