GE, 2017, kidney, 0, num, deceased
GE, 2017, liver, 0, num, deceased
GE, 2017, pancreas, 0, num, deceased
GE, 2017, heart, 0, num, deceased
GE, 2017, lung, 0, num, deceased
GE, 2017, heart/lung, -, num, deceased
GE, 2017, kidney, 0, pmp, deceased
GE, 2017, liver, 0, pmp, deceased
GE, 2017, pancreas, 0, pmp, deceased
GE, 2017, heart, 0, pmp, deceased
GE, 2017, lung, 0, pmp, deceased
GE, 2017, heart/lung, -, pmp, deceased
GE, 2017, kidney, 21, num, living
GE, 2017, liver, 10, num, living
GE, 2017, pancreas, -, num, living
GE, 2017, heart, -, num, living
GE, 2017, lung, -, num, living
GE, 2017, heart/lung, -, num, living
GE, 2017, kidney, 5.70, pmp, living
GE, 2017, liver, 2.70, pmp, living
GE, 2017, pancreas, -, pmp, living
GE, 2017, heart, -, pmp, living
GE, 2017, lung, -, pmp, living
GE, 2017, heart/lung, -, pmp, living
GE, 2017, kidney, 0, num, deceased
GE, 2017, liver, 0, num, deceased
GE, 2017, pancreas, 0, num, deceased
GE, 2017, heart, 0, num, deceased
GE, 2017, lung, 0, num, deceased
GE, 2017, heart/lung, -, num, deceased
GE, 2017, kidney, 0, pmp, deceased
GE, 2017, liver, 0, pmp, deceased
GE, 2017, pancreas, 0, pmp, deceased
GE, 2017, heart, 0, pmp, deceased
GE, 2017, lung, 0, pmp, deceased
GE, 2017, heart/lung, -, pmp, deceased
GE, 2017, kidney, 21, num, living
GE, 2017, liver, 10, num, living
GE, 2017, pancreas, -, num, living
GE, 2017, heart, -, num, living
GE, 2017, lung, -, num, living
GE, 2017, heart/lung, -, num, living
GE, 2017, kidney, 5.70, pmp, living
GE, 2017, liver, 2.70, pmp, living
GE, 2017, pancreas, -, pmp, living
GE, 2017, heart, -, pmp, living
GE, 2017, lung, -, pmp, living
GE, 2017, heart/lung, -, pmp, living
GE, 1995, kidney, 0, num, deceased
GE, 1995, liver, 0, num, deceased
GE, 1995, pancreas, 0, num, deceased
GE, 1995, heart, 0, num, deceased
GE, 1995, lung, 0, num, deceased
GE, 1995, heart/lung, -, num, deceased
GE, 1995, kidney, 0, pmp, deceased
GE, 1995, liver, 0, pmp, deceased
GE, 1995, pancreas, 0, pmp, deceased
GE, 1995, heart, 0, pmp, deceased
GE, 1995, lung, 0, pmp, deceased
GE, 1995, heart/lung, -, pmp, deceased
GE, 1995, kidney, 4, num, living
GE, 1995, liver, 0, num, living
GE, 1995, pancreas, -, num, living
GE, 1995, heart, -, num, living
GE, 1995, lung, -, num, living
GE, 1995, heart/lung, -, num, living
GE, 1995, kidney, 0.8, pmp, living
GE, 1995, liver, 0, pmp, living
GE, 1995, pancreas, -, pmp, living
GE, 1995, heart, -, pmp, living
GE, 1995, lung, -, pmp, living
GE, 1995, heart/lung, -, pmp, living
GE, 1996, kidney, 0, num, deceased
GE, 1996, liver, 0, num, deceased
GE, 1996, pancreas, 0, num, deceased
GE, 1996, heart, 0, num, deceased
GE, 1996, lung, 0, num, deceased
GE, 1996, heart/lung, -, num, deceased
GE, 1996, kidney, 0, pmp, deceased
GE, 1996, liver, 0, pmp, deceased
GE, 1996, pancreas, 0, pmp, deceased
GE, 1996, heart, 0, pmp, deceased
GE, 1996, lung, 0, pmp, deceased
GE, 1996, heart/lung, -, pmp, deceased
GE, 1996, kidney, 1, num, living
GE, 1996, liver, 0, num, living
GE, 1996, pancreas, -, num, living
GE, 1996, heart, -, num, living
GE, 1996, lung, -, num, living
GE, 1996, heart/lung, -, num, living
GE, 1996, kidney, 0.2, pmp, living
GE, 1996, liver, 0, pmp, living
GE, 1996, pancreas, -, pmp, living
GE, 1996, heart, -, pmp, living
GE, 1996, lung, -, pmp, living
GE, 1996, heart/lung, -, pmp, living
GE, 1997, kidney, 0, num, deceased
GE, 1997, liver, 0, num, deceased
GE, 1997, pancreas, 0, num, deceased
GE, 1997, heart, 0, num, deceased
GE, 1997, lung, 0, num, deceased
GE, 1997, heart/lung, -, num, deceased
GE, 1997, kidney, 0, pmp, deceased
GE, 1997, liver, 0, pmp, deceased
GE, 1997, pancreas, 0, pmp, deceased
GE, 1997, heart, 0, pmp, deceased
GE, 1997, lung, 0, pmp, deceased
GE, 1997, heart/lung, -, pmp, deceased
GE, 1997, kidney, 8, num, living
GE, 1997, liver, 0, num, living
GE, 1997, pancreas, -, num, living
GE, 1997, heart, -, num, living
GE, 1997, lung, -, num, living
GE, 1997, heart/lung, -, num, living
GE, 1997, kidney, 1.60, pmp, living
GE, 1997, liver, 0, pmp, living
GE, 1997, pancreas, -, pmp, living
GE, 1997, heart, -, pmp, living
GE, 1997, lung, -, pmp, living
GE, 1997, heart/lung, -, pmp, living
GE, 1998, kidney, 0, num, deceased
GE, 1998, liver, 0, num, deceased
GE, 1998, pancreas, 0, num, deceased
GE, 1998, heart, 0, num, deceased
GE, 1998, lung, 0, num, deceased
GE, 1998, heart/lung, -, num, deceased
GE, 1998, kidney, 0, pmp, deceased
GE, 1998, liver, 0, pmp, deceased
GE, 1998, pancreas, 0, pmp, deceased
GE, 1998, heart, 0, pmp, deceased
GE, 1998, lung, 0, pmp, deceased
GE, 1998, heart/lung, -, pmp, deceased
GE, 1998, kidney, 8, num, living
GE, 1998, liver, 0, num, living
GE, 1998, pancreas, -, num, living
GE, 1998, heart, -, num, living
GE, 1998, lung, -, num, living
GE, 1998, heart/lung, -, num, living
GE, 1998, kidney, 1.60, pmp, living
GE, 1998, liver, 0, pmp, living
GE, 1998, pancreas, -, pmp, living
GE, 1998, heart, -, pmp, living
GE, 1998, lung, -, pmp, living
GE, 1998, heart/lung, -, pmp, living
GE, 1999, kidney, 0, num, deceased
GE, 1999, liver, 0, num, deceased
GE, 1999, pancreas, 0, num, deceased
GE, 1999, heart, 0, num, deceased
GE, 1999, lung, 0, num, deceased
GE, 1999, heart/lung, -, num, deceased
GE, 1999, kidney, 0, pmp, deceased
GE, 1999, liver, 0, pmp, deceased
GE, 1999, pancreas, 0, pmp, deceased
GE, 1999, heart, 0, pmp, deceased
GE, 1999, lung, 0, pmp, deceased
GE, 1999, heart/lung, -, pmp, deceased
GE, 1999, kidney, 4, num, living
GE, 1999, liver, 0, num, living
GE, 1999, pancreas, -, num, living
GE, 1999, heart, -, num, living
GE, 1999, lung, -, num, living
GE, 1999, heart/lung, -, num, living
GE, 1999, kidney, 0.8, pmp, living
GE, 1999, liver, 0, pmp, living
GE, 1999, pancreas, -, pmp, living
GE, 1999, heart, -, pmp, living
GE, 1999, lung, -, pmp, living
GE, 1999, heart/lung, -, pmp, living
GE, 2000, kidney, 0, num, deceased
GE, 2000, liver, 0, num, deceased
GE, 2000, pancreas, 0, num, deceased
GE, 2000, heart, 0, num, deceased
GE, 2000, lung, 0, num, deceased
GE, 2000, heart/lung, -, num, deceased
GE, 2000, kidney, 0, pmp, deceased
GE, 2000, liver, 0, pmp, deceased
GE, 2000, pancreas, 0, pmp, deceased
GE, 2000, heart, 0, pmp, deceased
GE, 2000, lung, 0, pmp, deceased
GE, 2000, heart/lung, -, pmp, deceased
GE, 2000, kidney, 2, num, living
GE, 2000, liver, 0, num, living
GE, 2000, pancreas, -, num, living
GE, 2000, heart, -, num, living
GE, 2000, lung, -, num, living
GE, 2000, heart/lung, -, num, living
GE, 2000, kidney, 0.4, pmp, living
GE, 2000, liver, 0, pmp, living
GE, 2000, pancreas, -, pmp, living
GE, 2000, heart, -, pmp, living
GE, 2000, lung, -, pmp, living
GE, 2000, heart/lung, -, pmp, living
GE, 2017, kidney, 0, num, deceased
GE, 2017, liver, 0, num, deceased
GE, 2017, pancreas, 0, num, deceased
GE, 2017, heart, 0, num, deceased
GE, 2017, lung, 0, num, deceased
GE, 2017, heart/lung, -, num, deceased
GE, 2017, kidney, 0, pmp, deceased
GE, 2017, liver, 0, pmp, deceased
GE, 2017, pancreas, 0, pmp, deceased
GE, 2017, heart, 0, pmp, deceased
GE, 2017, lung, 0, pmp, deceased
GE, 2017, heart/lung, -, pmp, deceased
GE, 2017, kidney, 21, num, living
GE, 2017, liver, 10, num, living
GE, 2017, pancreas, -, num, living
GE, 2017, heart, -, num, living
GE, 2017, lung, -, num, living
GE, 2017, heart/lung, -, num, living
