IS, 2018, kidney, 0, num, deceased
IS, 2018, liver, 0, num, deceased
IS, 2018, pancreas, 0, num, deceased
IS, 2018, heart, 0, num, deceased
IS, 2018, lung, 0, num, deceased
IS, 2018, heart/lung, -, num, deceased
IS, 2018, kidney, 0, pmp, deceased
IS, 2018, liver, 0, pmp, deceased
IS, 2018, pancreas, 0, pmp, deceased
IS, 2018, heart, 0, pmp, deceased
IS, 2018, lung, 0, pmp, deceased
IS, 2018, heart/lung, -, pmp, deceased
IS, 2018, kidney, 9, num, living
IS, 2018, liver, 0, num, living
IS, 2018, pancreas, -, num, living
IS, 2018, heart, -, num, living
IS, 2018, lung, -, num, living
IS, 2018, heart/lung, -, num, living
IS, 2018, kidney, 25.31, pmp, living
IS, 2018, liver, 0, pmp, living
IS, 2018, pancreas, -, pmp, living
IS, 2018, heart, -, pmp, living
IS, 2018, lung, -, pmp, living
IS, 2018, heart/lung, -, pmp, living
IS, 2018, kidney, 0, num, deceased
IS, 2018, liver, 0, num, deceased
IS, 2018, pancreas, 0, num, deceased
IS, 2018, heart, 0, num, deceased
IS, 2018, lung, 0, num, deceased
IS, 2018, heart/lung, -, num, deceased
IS, 2018, kidney, 0, pmp, deceased
IS, 2018, liver, 0, pmp, deceased
IS, 2018, pancreas, 0, pmp, deceased
IS, 2018, heart, 0, pmp, deceased
IS, 2018, lung, 0, pmp, deceased
IS, 2018, heart/lung, -, pmp, deceased
IS, 2018, kidney, 9, num, living
IS, 2018, liver, 0, num, living
IS, 2018, pancreas, -, num, living
IS, 2018, heart, -, num, living
IS, 2018, lung, -, num, living
IS, 2018, heart/lung, -, num, living
IS, 2018, kidney, 25.31, pmp, living
IS, 2018, liver, 0, pmp, living
IS, 2018, pancreas, -, pmp, living
IS, 2018, heart, -, pmp, living
IS, 2018, lung, -, pmp, living
IS, 2018, heart/lung, -, pmp, living
IS, 2018, kidney, 0, num, deceased
IS, 2018, liver, 0, num, deceased
IS, 2018, pancreas, 0, num, deceased
IS, 2018, heart, 0, num, deceased
IS, 2018, lung, 0, num, deceased
IS, 2018, heart/lung, -, num, deceased
IS, 2018, kidney, 0, pmp, deceased
IS, 2018, liver, 0, pmp, deceased
IS, 2018, pancreas, 0, pmp, deceased
IS, 2018, heart, 0, pmp, deceased
IS, 2018, lung, 0, pmp, deceased
IS, 2018, heart/lung, -, pmp, deceased
IS, 2018, kidney, 9, num, living
IS, 2018, liver, 0, num, living
IS, 2018, pancreas, -, num, living
IS, 2018, heart, -, num, living
IS, 2018, lung, -, num, living
IS, 2018, heart/lung, -, num, living
IS, 2018, kidney, 25.31, pmp, living
IS, 2018, liver, 0, pmp, living
IS, 2018, pancreas, -, pmp, living
IS, 2018, heart, -, pmp, living
IS, 2018, lung, -, pmp, living
IS, 2018, heart/lung, -, pmp, living
IS, 2018, kidney, 0, num, deceased
IS, 2018, liver, 0, num, deceased
IS, 2018, pancreas, 0, num, deceased
IS, 2018, heart, 0, num, deceased
IS, 2018, lung, 0, num, deceased
IS, 2018, heart/lung, -, num, deceased
IS, 2018, kidney, 0, pmp, deceased
IS, 2018, liver, 0, pmp, deceased
IS, 2018, pancreas, 0, pmp, deceased
IS, 2018, heart, 0, pmp, deceased
IS, 2018, lung, 0, pmp, deceased
IS, 2018, heart/lung, -, pmp, deceased
IS, 2018, kidney, 9, num, living
IS, 2018, liver, 0, num, living
IS, 2018, pancreas, -, num, living
IS, 2018, heart, -, num, living
IS, 2018, lung, -, num, living
IS, 2018, heart/lung, -, num, living
IS, 2018, kidney, 25.31, pmp, living
IS, 2018, liver, 0, pmp, living
IS, 2018, pancreas, -, pmp, living
IS, 2018, heart, -, pmp, living
IS, 2018, lung, -, pmp, living
IS, 2018, heart/lung, -, pmp, living
IS, 2018, kidney, 0, num, deceased
IS, 2018, liver, 0, num, deceased
IS, 2018, pancreas, 0, num, deceased
IS, 2018, heart, 0, num, deceased
IS, 2018, lung, 0, num, deceased
IS, 2018, heart/lung, -, num, deceased
IS, 2018, kidney, 0, pmp, deceased
IS, 2018, liver, 0, pmp, deceased
IS, 2018, pancreas, 0, pmp, deceased
IS, 2018, heart, 0, pmp, deceased
IS, 2018, lung, 0, pmp, deceased
