KW, 2017, kidney, 29, num, deceased
KW, 2017, liver, 0, num, deceased
KW, 2017, pancreas, 3, num, deceased
KW, 2017, heart, 0, num, deceased
KW, 2017, lung, 0, num, deceased
KW, 2017, heart/lung, -, num, deceased
KW, 2017, kidney, 7.25, pmp, deceased
KW, 2017, liver, 0, pmp, deceased
KW, 2017, pancreas, 0.75, pmp, deceased
KW, 2017, heart, 0, pmp, deceased
KW, 2017, lung, 0, pmp, deceased
KW, 2017, heart/lung, -, pmp, deceased
KW, 2017, kidney, 60, num, living
KW, 2017, liver, 0, num, living
KW, 2017, pancreas, -, num, living
KW, 2017, heart, -, num, living
KW, 2017, lung, -, num, living
KW, 2017, heart/lung, -, num, living
KW, 2017, kidney, 15, pmp, living
KW, 2017, liver, 0, pmp, living
KW, 2017, pancreas, -, pmp, living
KW, 2017, heart, -, pmp, living
KW, 2017, lung, -, pmp, living
KW, 2017, heart/lung, -, pmp, living
KW, 2017, kidney, 29, num, deceased
KW, 2017, liver, 0, num, deceased
KW, 2017, pancreas, 3, num, deceased
KW, 2017, heart, 0, num, deceased
KW, 2017, lung, 0, num, deceased
KW, 2017, heart/lung, -, num, deceased
KW, 2017, kidney, 7.25, pmp, deceased
KW, 2017, liver, 0, pmp, deceased
KW, 2017, pancreas, 0.75, pmp, deceased
KW, 2017, heart, 0, pmp, deceased
KW, 2017, lung, 0, pmp, deceased
KW, 2017, heart/lung, -, pmp, deceased
KW, 2017, kidney, 60, num, living
KW, 2017, liver, 0, num, living
KW, 2017, pancreas, -, num, living
KW, 2017, heart, -, num, living
KW, 2017, lung, -, num, living
KW, 2017, heart/lung, -, num, living
KW, 2017, kidney, 15, pmp, living
KW, 2017, liver, 0, pmp, living
KW, 2017, pancreas, -, pmp, living
KW, 2017, heart, -, pmp, living
KW, 2017, lung, -, pmp, living
KW, 2017, heart/lung, -, pmp, living
KW, 2017, kidney, 29, num, deceased
KW, 2017, liver, 0, num, deceased
KW, 2017, pancreas, 3, num, deceased
KW, 2017, heart, 0, num, deceased
KW, 2017, lung, 0, num, deceased
KW, 2017, heart/lung, -, num, deceased
KW, 2017, kidney, 7.25, pmp, deceased
KW, 2017, liver, 0, pmp, deceased
KW, 2017, pancreas, 0.75, pmp, deceased
KW, 2017, heart, 0, pmp, deceased
KW, 2017, lung, 0, pmp, deceased
KW, 2017, heart/lung, -, pmp, deceased
KW, 2017, kidney, 60, num, living
KW, 2017, liver, 0, num, living
KW, 2017, pancreas, -, num, living
KW, 2017, heart, -, num, living
KW, 2017, lung, -, num, living
KW, 2017, heart/lung, -, num, living
KW, 2017, kidney, 15, pmp, living
KW, 2017, liver, 0, pmp, living
KW, 2017, pancreas, -, pmp, living
KW, 2017, heart, -, pmp, living
KW, 2017, lung, -, pmp, living
KW, 2017, heart/lung, -, pmp, living
KW, 2017, kidney, 29, num, deceased
KW, 2017, liver, 0, num, deceased
KW, 2017, pancreas, 3, num, deceased
KW, 2017, heart, 0, num, deceased
KW, 2017, lung, 0, num, deceased
KW, 2017, heart/lung, -, num, deceased
KW, 2017, kidney, 7.25, pmp, deceased
KW, 2017, liver, 0, pmp, deceased
KW, 2017, pancreas, 0.75, pmp, deceased
KW, 2017, heart, 0, pmp, deceased
KW, 2017, lung, 0, pmp, deceased
KW, 2017, heart/lung, -, pmp, deceased
KW, 2017, kidney, 60, num, living
KW, 2017, liver, 0, num, living
KW, 2017, pancreas, -, num, living
KW, 2017, heart, -, num, living
KW, 2017, lung, -, num, living
KW, 2017, heart/lung, -, num, living
KW, 2017, kidney, 15, pmp, living
KW, 2017, liver, 0, pmp, living
KW, 2017, pancreas, -, pmp, living
KW, 2017, heart, -, pmp, living
KW, 2017, lung, -, pmp, living
KW, 2017, heart/lung, -, pmp, living
KW, 2017, kidney, 29, num, deceased
KW, 2017, liver, 0, num, deceased
KW, 2017, pancreas, 3, num, deceased
KW, 2017, heart, 0, num, deceased
KW, 2017, lung, 0, num, deceased
KW, 2017, heart/lung, -, num, deceased
KW, 2017, kidney, 7.25, pmp, deceased
KW, 2017, liver, 0, pmp, deceased
KW, 2017, pancreas, 0.75, pmp, deceased
KW, 2017, heart, 0, pmp, deceased
KW, 2017, lung, 0, pmp, deceased
KW, 2017, heart/lung, -, pmp, deceased
KW, 2017, kidney, 60, num, living
KW, 2017, liver, 0, num, living
KW, 2017, pancreas, -, num, living
KW, 2017, heart, -, num, living
KW, 2017, lung, -, num, living
KW, 2017, heart/lung, -, num, living
KW, 2017, kidney, 15, pmp, living
KW, 2017, liver, 0, pmp, living
KW, 2017, pancreas, -, pmp, living
KW, 2017, heart, -, pmp, living
KW, 2017, lung, -, pmp, living
KW, 2017, heart/lung, -, pmp, living
KW, 2017, kidney, 29, num, deceased
KW, 2017, liver, 0, num, deceased
KW, 2017, pancreas, 3, num, deceased
KW, 2017, heart, 0, num, deceased
KW, 2017, lung, 0, num, deceased
KW, 2017, heart/lung, -, num, deceased
KW, 2017, kidney, 7.25, pmp, deceased
KW, 2017, liver, 0, pmp, deceased
KW, 2017, pancreas, 0.75, pmp, deceased
KW, 2017, heart, 0, pmp, deceased
KW, 2017, lung, 0, pmp, deceased
KW, 2017, heart/lung, -, pmp, deceased
KW, 2017, kidney, 60, num, living
KW, 2017, liver, 0, num, living
KW, 2017, pancreas, -, num, living
KW, 2017, heart, -, num, living
KW, 2017, lung, -, num, living
KW, 2017, heart/lung, -, num, living
KW, 2017, kidney, 15, pmp, living
KW, 2017, liver, 0, pmp, living
KW, 2017, pancreas, -, pmp, living
KW, 2017, heart, -, pmp, living
KW, 2017, lung, -, pmp, living
KW, 2017, heart/lung, -, pmp, living
KW, 2017, kidney, 29, num, deceased
KW, 2017, liver, 0, num, deceased
KW, 2017, pancreas, 3, num, deceased
KW, 2017, heart, 0, num, deceased
KW, 2017, lung, 0, num, deceased
KW, 2017, heart/lung, -, num, deceased
KW, 2017, kidney, 7.25, pmp, deceased
KW, 2017, liver, 0, pmp, deceased
KW, 2017, pancreas, 0.75, pmp, deceased
KW, 2017, heart, 0, pmp, deceased
KW, 2017, lung, 0, pmp, deceased
KW, 2017, heart/lung, -, pmp, deceased
KW, 2017, kidney, 60, num, living
KW, 2017, liver, 0, num, living
KW, 2017, pancreas, -, num, living
KW, 2017, heart, -, num, living
KW, 2017, lung, -, num, living
KW, 2017, heart/lung, -, num, living
KW, 2017, kidney, 15, pmp, living
KW, 2017, liver, 0, pmp, living
KW, 2017, pancreas, -, pmp, living
KW, 2017, heart, -, pmp, living
KW, 2017, lung, -, pmp, living
KW, 2017, heart/lung, -, pmp, living
KW, 2017, kidney, 29, num, deceased
KW, 2017, liver, 0, num, deceased
KW, 2017, pancreas, 3, num, deceased
KW, 2017, heart, 0, num, deceased
KW, 2017, lung, 0, num, deceased
KW, 2017, heart/lung, -, num, deceased
KW, 2017, kidney, 7.25, pmp, deceased
KW, 2017, liver, 0, pmp, deceased
KW, 2017, pancreas, 0.75, pmp, deceased
KW, 2017, heart, 0, pmp, deceased
KW, 2017, lung, 0, pmp, deceased
KW, 2017, heart/lung, -, pmp, deceased
KW, 2017, kidney, 60, num, living
KW, 2017, liver, 0, num, living
