PK, 2006, kidney, 0, num, deceased
PK, 2006, liver, 0, num, deceased
PK, 2006, pancreas, 0, num, deceased
PK, 2006, heart, 0, num, deceased
PK, 2006, lung, 0, num, deceased
PK, 2006, heart/lung, -, num, deceased
PK, 2006, kidney, 0, pmp, deceased
PK, 2006, liver, 0, pmp, deceased
PK, 2006, pancreas, 0, pmp, deceased
PK, 2006, heart, 0, pmp, deceased
PK, 2006, lung, 0, pmp, deceased
PK, 2006, heart/lung, -, pmp, deceased
PK, 2006, kidney, 2348, num, living
PK, 2006, liver, 0, num, living
PK, 2006, pancreas, -, num, living
PK, 2006, heart, -, num, living
PK, 2006, lung, -, num, living
PK, 2006, heart/lung, -, num, living
PK, 2006, kidney, 15.10, pmp, living
PK, 2006, liver, 0, pmp, living
PK, 2006, pancreas, -, pmp, living
PK, 2006, heart, -, pmp, living
PK, 2006, lung, -, pmp, living
PK, 2006, heart/lung, -, pmp, living
PK, 2006, kidney, 0, num, deceased
PK, 2006, liver, 0, num, deceased
PK, 2006, pancreas, 0, num, deceased
PK, 2006, heart, 0, num, deceased
PK, 2006, lung, 0, num, deceased
PK, 2006, heart/lung, -, num, deceased
PK, 2006, kidney, 0, pmp, deceased
PK, 2006, liver, 0, pmp, deceased
PK, 2006, pancreas, 0, pmp, deceased
PK, 2006, heart, 0, pmp, deceased
PK, 2006, lung, 0, pmp, deceased
PK, 2006, heart/lung, -, pmp, deceased
PK, 2006, kidney, 2348, num, living
PK, 2006, liver, 0, num, living
PK, 2006, pancreas, -, num, living
PK, 2006, heart, -, num, living
PK, 2006, lung, -, num, living
PK, 2006, heart/lung, -, num, living
PK, 2006, kidney, 15.10, pmp, living
PK, 2006, liver, 0, pmp, living
PK, 2006, pancreas, -, pmp, living
PK, 2006, heart, -, pmp, living
PK, 2006, lung, -, pmp, living
PK, 2006, heart/lung, -, pmp, living
PK, 2006, kidney, 0, num, deceased
PK, 2006, liver, 0, num, deceased
PK, 2006, pancreas, 0, num, deceased
PK, 2006, heart, 0, num, deceased
PK, 2006, lung, 0, num, deceased
PK, 2006, heart/lung, -, num, deceased
PK, 2006, kidney, 0, pmp, deceased
PK, 2006, liver, 0, pmp, deceased
PK, 2006, pancreas, 0, pmp, deceased
PK, 2006, heart, 0, pmp, deceased
PK, 2006, lung, 0, pmp, deceased
PK, 2006, heart/lung, -, pmp, deceased
PK, 2006, kidney, 2348, num, living
PK, 2006, liver, 0, num, living
PK, 2006, pancreas, -, num, living
PK, 2006, heart, -, num, living
PK, 2006, lung, -, num, living
PK, 2006, heart/lung, -, num, living
PK, 2006, kidney, 15.10, pmp, living
PK, 2006, liver, 0, pmp, living
PK, 2006, pancreas, -, pmp, living
PK, 2006, heart, -, pmp, living
PK, 2006, lung, -, pmp, living
PK, 2006, heart/lung, -, pmp, living
PK, 2006, kidney, 0, num, deceased
PK, 2006, liver, 0, num, deceased
PK, 2006, pancreas, 0, num, deceased
PK, 2006, heart, 0, num, deceased
PK, 2006, lung, 0, num, deceased
PK, 2006, heart/lung, -, num, deceased
PK, 2006, kidney, 0, pmp, deceased
PK, 2006, liver, 0, pmp, deceased
PK, 2006, pancreas, 0, pmp, deceased
PK, 2006, heart, 0, pmp, deceased
PK, 2006, lung, 0, pmp, deceased
PK, 2006, heart/lung, -, pmp, deceased
PK, 2006, kidney, 2348, num, living
PK, 2006, liver, 0, num, living
